,name,2019-9-30,930主营业务收入mainBusinessIncome,930总利润contributionMargin,930净利润retainedProfits,930总资产totalAssets,930总负债totalLiabilities,2019-6-30,630主营业务收入mainBusinessIncome,630总利润contributionMargin,630净利润retainedProfits,630总资产totalAssets,630总负债totalLiabilities,2019-3-31,331主营业务收入mainBusinessIncome,331总利润contributionMargin,331净利润retainedProfits,331总资产totalAssets,331总负债totalLiabilities,2018-12-31,1231主营业务收入mainBusinessIncome,1231总利润contributionMargin,1231净利润retainedProfits,1231总资产totalAssets,1231总负债totalLiabilities,2018-9-30,8930主营业务收入mainBusinessIncome,8930总利润contributionMargin,8930净利润retainedProfits,8930总资产totalAssets,8930总负债totalLiabilities
29,002240.SZ, ,171066.261429,8926.589509,8057.174352,400869.116415,168234.78839, ,105968.576575,6615.833284,6082.5615,389850.956244,159207.288621, ,52448.34826,2445.789316,2152.852378,374033.419741,147458.775976, ,252370.197149,15812.875197,16001.415077,366351.699054,141938.119793, ,185221.257232,12255.507854,12506.6518,353180.323496,128633.105901
30,600076.SH, ,154736.499022,36910.084825,34684.840973,645092.357124,232638.124336, ,105777.30318,27565.286378,25960.535183,611484.099846,207708.077353, ,53194.918611,14800.284791,13856.266139,604751.873024,210958.763451, ,228951.309591,51230.709298,46758.75795,586545.916335,206562.872061, ,188340.150905,39863.308319,36150.355306,559810.53955,191547.350531
31,300094.SZ, ,376868.892904,1993.296512,1819.845014,551985.475706,272911.548623, ,249273.959301,1287.623068,1076.346146,551110.325768,270391.561722, ,112721.509384,1079.901785,893.842377,519677.934621,240369.750136, ,473777.872597,26103.012309,23130.029267,492109.704496,273078.800461, ,346953.705913,25645.301394,22675.298995,465021.697189,247145.309386
32,300106.SZ, ,52490.65915,494.620006,124.130036,112282.120663,41882.327369, ,34308.100935,413.044717,187.403576,111329.783768,40998.228204, ,17078.084046,176.336832,120.534676,113189.271949,43070.320666, ,67781.182682,1914.753307,1971.012753,113746.493558,43788.429467, ,53339.573919,2410.330262,2298.162596,183976.640864,109933.491893
33,002200.SZ, ,48264.269199,7541.16897,2800.198043,359944.003575,316619.630201, ,22116.463345,3792.327752,1327.268095,344818.651407,304387.233888, ,3674.680733,1168.580369,727.005651,308485.146988,274733.681999, ,75963.819568,-20958.597882,-25540.020284,355990.311884,321234.39254, ,28668.038191,-24403.407311,-23327.608863,326635.93249,293213.383018
34,600275.SH, ,1908.209298,-1632.964781,-1645.43,22340.073149,8695.517772, ,882.986139,-963.426261,-975.931453,23020.788663,8706.694765, ,176.719039,-306.373435,-306.347077,22845.567902,7861.914156, ,3789.047105,442.71228,428.116855,23919.234673,8629.207492, ,1382.003246,-719.637869,-719.474982,23501.298379,9358.83843
35,000592.SZ, ,68411.765121,3708.555,3038.556583,405773.289451,46830.87595, ,44282.735825,1410.098695,1130.245038,397813.81146,40970.928807, ,21550.273105,-326.185392,-354.864146,415588.296039,77648.850897, ,93542.861868,7978.78922,2634.852076,430376.882729,92060.257497, ,69922.674946,13837.345511,7994.837365,449074.373719,96366.871894
36,300087.SZ, ,31703.699773,-5637.566396,-2886.469307,176184.391677,86654.714836, ,21489.545602,-1445.373154,-422.180687,150246.601351,55761.041501, ,14007.016281,886.360964,817.523112,162387.055723,61738.931367, ,91031.53725,9400.156126,6832.285643,190617.72413,85090.437937, ,27010.624553,-6734.025403,-4045.091904,175791.558716,86471.848688
37,002069.SZ, ,201079.556811,-2070.457714,-3402.687469,340732.710301,298574.087297, ,128833.955055,-1242.802667,-2358.967944,357951.061769,315317.492624, ,55872.456347,-4617.444032,-4314.137477,353785.082181,314634.687215, ,279799.738781,4196.513558,3210.919326,355434.008839,311295.59203, ,210419.559509,3081.18536,2338.09954,361877.001154,318059.072973
38,002234.SZ, ,232769.884228,125213.107917,125232.549379,306048.024795,67458.561396, ,156299.965445,86869.775303,86884.009602,282485.969883,82411.699156, ,73148.640931,38559.105676,38579.337412,289625.522527,138642.93651, ,181771.138636,38085.509421,38065.261315,262430.30439,150305.739659, ,114436.449151,13967.505123,13903.320315,240565.698189,152672.140304
